Code;CrControlCode;CrCommandId;Outline;Mode;ILX-LR1;ILCE-1M2;ILCE-1;ILCE-9M3;ILCE-9M2;ILCE-7RM5;ILCE-7RM4A;ILCE-7RM4;ILCE-7CR;ILCE-7SM3;ILCE-7M5;ILCE-7M4;ILCE-7CM2;ILCE-7C;ILCE-6700;MPC-2610;ILME-FX6;ILME-FX2;ILME-FX3A;ILME-FX3;ILME-FX30;PXW-Z300;PXW-Z200;HXR-NX800;BRC-AM7;ILME-FR7;ZV-E1;ZV-E10M2;DSC-RX1RM3;DSC-RX0M2
\-;:ref:`CrControlCode_Release<cc-Release>`;:ref:`CrCommandId_Release<command-Release>`;Shutter Release;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
\-;:ref:`CrControlCode_CancelContentsTransfer<cc-CancelContentsTransfer>`;:ref:`CrCommandId_CancelContentsTransfer<command-CancelContentsTransfer>`;Cancel Contents transfer;C;✔;✔;✔;✔;\-;✔;✔;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
0xD2C1;:ref:`CrControlCode_S1Button<cc-S1Button>`;\-;S1 Button;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
0xD2C2;:ref:`CrControlCode_S2Button<cc-S2Button>`;\-;S2 Button;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
0xD2C3;:ref:`CrControlCode_AELButton<cc-AELButton>`;\-;AEL Button;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
0xD2C8;:ref:`CrControlCode_MovieRecButton<cc-MovieRecButton>`;:ref:`CrCommandId_MovieRecord<command-MovieRecord>`;Movie Rec Button (Hold);R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;✔;\-;✔;✔;✔;✔
0xD2C9;:ref:`CrControlCode_FELButton<cc-FELButton>`;\-;FEL Button;R/T;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-;✔;✔;✔;\-
0xD2CD;:ref:`CrControlCode_RemoteKeyUp<cc-RemoteKeyUp>`;:ref:`CrCommandId_RemoteKeyUp<command-RemoteKeyUp>`;Remote Key UP;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
0xD2CE;:ref:`CrControlCode_RemoteKeyDown<cc-RemoteKeyDown>`;:ref:`CrCommandId_RemoteKeyDown<command-RemoteKeyDown>`;Remote Key DOWN;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
0xD2CF;:ref:`CrControlCode_RemoteKeyLeft<cc-RemoteKeyLeft>`;:ref:`CrCommandId_RemoteKeyLeft<command-RemoteKeyLeft>`;Remote Key LEFT;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
