No.;CrDeviceProperty;Outline;Mode;ILX-LR1;ILCE-1M2;ILCE-1;ILCE-9M3;ILCE-9M2;ILCE-7RM5;ILCE-7RM4A;ILCE-7RM4;ILCE-7CR;ILCE-7SM3;ILCE-7M5;ILCE-7M4;ILCE-7CM2;ILCE-7C;ILCE-6700;MPC-2610;ILME-FX6;ILME-FX2;ILME-FX3A;ILME-FX3;ILME-FX30;PXW-Z300;PXW-Z200;HXR-NX800;BRC-AM7;ILME-FR7;ZV-E1;ZV-E10M2;DSC-RX1RM3;DSC-RX0M2
1;:ref:`CrDeviceProperty_S1<dp-S1>`;Shutter Half Release;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
2;:ref:`CrDeviceProperty_AEL<dp-AEL>`;AELock Indication;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
3;:ref:`CrDeviceProperty_FEL<dp-FEL>`;FELock Indication;R/T;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-;✔;✔;✔;\-
4;:ref:`CrDeviceProperty_AWBL<dp-AWBL>`;AWBLock Indication;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
5;:ref:`CrDeviceProperty_FNumber<dp-FNumber>`;F-Number;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\*1;✔
6;:ref:`CrDeviceProperty_ExposureBiasCompensation<dp-ExposureBiasCompensation>`;Exposure Bias Compensation;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;✔;\-;✔;✔;✔;✔
7;:ref:`CrDeviceProperty_ShutterSpeed<dp-ShutterSpeed>`;Shutter Speed;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
8;:ref:`CrDeviceProperty_IsoSensitivity<dp-IsoSensitivity>`;ISO Sensitivity;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;✔;✔;✔;✔;✔;✔;✔;✔
9;:ref:`CrDeviceProperty_FocusArea<dp-FocusArea>`;Focus Area;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
10;:ref:`CrDeviceProperty_ExposureProgramMode<dp-ExposureProgramMode>`;Exposure Program Mode;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
